BOY;male;Are the birds gonna eat us Mommy I'm not scared Mommy I can't find my scarf
SAM;male;coming from kitchen All this shouting A war Against who Did the  What attack Who attacked the school Al why aren't you over there where  Go on Mitch taking position beside  slowly
DENNIS;male;So where we going I likes surprises  Heatseeker What the fuck are we doing here over the music Please don't 
RAQUEL;female;It's a surprise  What do you have down there little  I'll bet  What's wrong baby Did you see that about the guy who  They're gonna cook him Which would you choose Do they aim for the head or for the I wouldn't The brain would know what's  Absolutely Soon as your neck snaps 
QUINN;male;Fuck you Daywalker I ain't saying  You won't stop him Blade The Tide's   crazed by thirst grins You took my arm Blade But that's  Nice huh Think I'll ever play the  Stay with me sweetness I'm not  Teak Nice craftsmanship  Actually if you want to get  What's so funny bright eyes  He took my fucking hand Again We need to find him tonight We should finish him off Fucking waste if you ask me Grew another hand for you sweetmeat  I been waiting I have to do Shut up I tagged the goddamned stocking I said you were a beat here You didn't say serial killer and I not satisfied she We're gonna have a bunch of clapped There was no sperm seeing HELEN on Would you step outside Sergeant I'm telling you  Don't you ever How about I put Nikko on it Sergeant You ever reflect how this big Nikko's looking better by the Aw Jesus  The Mouth gets a load Who've I got to beat up except the morose Or for some new nutcase to copycat Another country heard from He's on the phone calling me like an What  I talk like a cop this is With the FBI there's no such I know the kid hit you first  He She left you Nikko  She's not Don't give me six years  You never Then you shoulda known she wasn't What's going down with the sting in So what have we got Christ  How old are you  You sure Okay now what about your sidekick Where you going What the hell you need her for Sorry to interrupt  I need a word MJ I'm going to have to borrow Teach both of them a lesson in Just I need results  And  I am I didn't want the Illigals I wanted amazed How'd you get in on the deal You have no authority to make a Saks  If he knew you did that Nikko Nikko  My office  MJ I wanna nothing her look So I'm maybe gonna lose three good "Spokesperson" I called our SWAT Commander Susan the San Francisco Police I'll take it kid  You take two No she can come in tomorrow Yeah it's a thought
CURTIS;male;Jesus that's rank   What's his story Pretty Then what is it What about the chemistry panel  insistent This is purely professional curiosity  No problem That's weird  He looks different now burns are less  Tell me something honestly you ever  Jesus Karen you're breaking my heart 
KAREN;female;You took this off a DOA This isn't human blood I don't know  The red blood cells are biconvex  Curtis it's three in the morning I'm  I thought you promised to give me some  Five minutes not a second more And I  You haven't started in on the internal  What grudgingly  but then I remember what an  gasping What    I'm sorry I  Who are you people You're joking  Why did you help me Why What happens then sarcastic And you honestly expect me to believe  I can't just leave I have a life  I can go to the police I have blood  That's ridiculous No one's that  in disbelief I need the police This is an  Hello My name is Karen Jansen I was  Get a grip on yourself girl Who is it  Yes that was me I'm Karen Jansen   I know Listen  do you have any idea  alarmed He said it would work against  How did you know You used me as bait But he could've  But he's a policeman  Why in God's name would anyone want to  And that's a good thing What are you doing You can't do this he's human it's  You were going to kill him What was I   I remembered the address I followed  Look if what you say is true if  defiant What are you looking at Graffiti  recognizing it No What if you've made a mistake You let him go   How can you tell So many of them  I still can't  Like what What is this place Isn't this all a little hightech I  He moved What are these How did you find us incredulous Whistler You're hurt  What am I injecting you with You're one of them aren't you Why didn't you tell me the truth  What happens if he doesn't take the  No offense Whistler but you're not  Why do you hunt them He killed them How did you escape And now you're using Blade to exact  I'll take my chances Blade It's dark in here Whistler told me about your mother  Those aren't real memories No one has  If you're not human then why do you  Blade  I made a trip to the hospital last  This is sodium citrate It's an  Before you go I'd like to take a  Is he sick You care about him don't you  pointedly Some It's been slow  I'm just tired that's all We've been  Excuse me You make it sound like I'm already  All right let's start with the basics  Then vampirism is a genetic defect  So what about gene therapy Basically you'd have to rewrite the  With a retrovirus It's injected into  On me yes On Blade I'm not so  What happened to the power Why haven't you killed me yet  How many of you are there What happens then LaMagra  You There's no need for any of this Your  But you use blood banks  You're a monster  Are you all right shaking her head Is it bad quietly Your condition's congenital the  I can't cure you Blade I can cure  Blade  Curtis whispering urgent I'm not leaving without you I know Take some of my blood It's the only way You know that  Yes you will The human side of you is  Don't stop  My God  hesitant  Blade I never imagined I'd be so happy to 
JULIE;female;Blood sugar level is three times the  I didn't realise Those were decaps I  Butwe bury the heads Oh God It must  I thought the purpose of decapitation was  Did you know About the decaps But you knew What else is there doctor What else do  I don't need any help from you Don't move Open the outer door Move it Whatwhat is this Who Whatwhat have you done to her Those buttons won't work The evacuation  CUT ME LOOSE PLEASE CUT ME LOOSE Bless me Father for I have sinned I killed a man Well I thought I I have these dreamshorrible You see he was a killer He You know But how could you I'm sorry  I'm fine I'm fine I had another dream Will It was in a churchit was so real I thought I was over the dreams for It can't get worse I mean it's not cont'd weary softens I'm okay Thanks for the talk Will You're Oh my god Ray You scared me Oh that's Will He's a friend Ray we're just friend Why are you being like this softly but resolved I just feel like some part of me It's not like that It's not you Ray Ray At least come up for a Ray I'm sorry I didn't mean whispers What are you doing in my closet What are you doing in my closet That was heart attack time Karla I'm not going anywhere I'm fat I think I just really hurt Ray's There's nothing between Will and me No I'm not Tyrell you are an unstoppable No Tyrell I appreciate it but have suspicious but What Ben still sleepy resigned Okay okay You're right shrugs Hi compassoinate It's okay Ray Karla won a trip to the Bahamas We'd have a long weekend just to sit It's not you it's Southport And Ray come on I want us to be Will you tryfor me please Rayplease try I really miss you He's not coming I thought he was But he said he'd try appoligizing for him Then don't Oh deciding Just take deep breaths and think of Deep breaths  You've got a better chance of deadpan sharing the moment It's pretty remote here Where is everyone I'll ask  covering Your what We haven't exchanged anything Storm season It beets being on the mainland suspicious Karla You promised noting his sweetness Am I bad I mean he's really great appologetic to Nancy  Don't even think about it No way No Not meno way You asked for it It'shim He did something to the screenit There's no wayjust stop it right realizing No no no This was really sweet No  it's not that It'sI'm just a Are you sure I really appreciate it calling out Will It's happening again There's a body It's in my room There was a body I swear it sharp Listen to me He's here sharp The dockhand guy Hanging by his neck I want off this island Then I'll call the mainland for a It's dead  Some It's okayHe doesn't believe me Nice move Cancer in a box Houseplant Karla You say something Oh God get me out Get me out almost relieved freaking out Ben Willis They never found the body Only he wasn't dead He killed Barry sotto Voodoo Leave him alone Let him go I believe him He's telling the truth He could've Rio isn't the capital of Brazil It I don't know to Tyrell We'll be better off in the open If softly I've got to see I'm not dying on this island Then we fight  sad I'm so sorry I brought this on Wait it's Nancy  Get used to it There's no way to lock it You sick freak screaming terrified Come on Nancy determined to Nancy Come on gimme a shot  Come on you can make it I'm right here Grab my hand Okay I'm at the bottom Karla No you're not All right  Did you get help He's in it with Willis Your stomach you're hurt  Oh my god you're bleeding to Will just hold on We'll get you You've got blood everywhere but I Why are you doing this to me I trusted you Why OMIGOD  No no no   JustDie You're okay Thank god smiling Raywhat are you doing Never do that again I love it here You know me to well What is my problem
GIDEON;male;Sergeant Gideon I'm responding to a  Are you all right matter of fact Because you're dead too Garlic Who said I was a vampire  Thanks for the laugh You can shut  Mphuck you  Jesus  1227 Brookner   Look I know you're disappointed  Blade was waiting for me There wasn't  I don't really know  Ahhh jesus the creatures of the  Blow yourself bigmouth Whatcha got 18k  Crap Nineteen bucks at Sears  Fake What's this  a little ah Piss off we're closed Fucking creatures of the night Oh bullshit  You're trespassing You're looking for a coronershit gasping All's I got is in a box  Behind No fucking way  He'll kill me cowed You want those assholes you want  Like the car  He hangs out with You walk outta here Top Dollar
PEARL;female; into a speakerphone What is that relenting LaMagra is The Sleeper  The vault  Please I'll give you the combination 
KAM;male;re calendar I was afraid that might happen There's only one alternative to the  I've heard about a woman named 
VANESSA;female; Jason  I've missed you so much Jason  a hellish smile Yes Listen to your father Jason It's  These are my people now I'm one of  You don't understand I've killed  I wish you could see the world as I  You will Time is on our side Sooner  Your mother died the night you  Did you think I'd forgotten you you 
CATHERINE;female;Thanks for the horse He's beautiful calling to him Oh no No you don't I bet we can fix it hoarse groggy Baked in a pie Almost  MockyLock showed up MockyLock is a pain in the ass A nursery rhyme I'll tell the nurse You don't know about me though do you There's been progress to Cooperman Miriam Henry Then what is it He hates me She thinks I can bring Edward back I want to try it  Please Why not  Just once  A trial run  What Why is it taking so long for us to reach He creates the obstacles he decides frustrated I do it all the time I'd be there for him defeated defensively Yes mother Okay declining Pleasant dreams Mister E Go  To  Sleep angry to the heavens hoarse disappointed What if Do you think he'd tell you what you need Really  I don't work with violent Okay  Let's assume he wanted you to If he came to trust me yes but it I realize that The first What  Six or seven times I Like a New Year's Day hangover You don't know the procedure Then he should like this I'll be fine No  No Hello Is it cold in here Do you think that's funny It doesn't have much to do with science The soul  The spirit  Whatever you Agent Novak Do you feel there's a side of yourself Just like we all have fantasies right  During the sessions  When I'm inside  professionally Why'd you bring him here already knows You thought Stargher wanted to be You were right  There's a part of him This is going to sound terrible but He might tell me about Julia  The part Not Stargher not really  He's split Don't you feel there are different sides Then what is he If you believe that sensing something Tell me You're sure of that Tell them to prep him  And that I'll be I need something You're a good boy aren't you Okay okay Don't kid around Henry Yeah yeah yeah  I'm not sleepy Valentine Need some help I want to help you Carl You sound like your father Then help me  Where is Julia Hickson Maybe because you want to Wait He wants us to follow  The little He brought you to me didn't he  If you Carl Carl do you know  Like on a map CARL I can't leave him a pocketful of rye Baked in a pie What's wrong Go  I'm fine  Go regretfully No I said no My world No one deserves it Carl  No one Carl Carl Goodbye Carl Everything's alright now Valentine  I I don't need them anymore Thanks Miriam  Say hi to Henry and overlapping Ready Give her a minute Absolutely Good for them I told you  You have to be optimistic  He's mine It doesn't matter Not just yet  Okay Thank you No  Thank you
EDWARD;male;You liked him nods at the ship MockyLock "MockyLock is the bogeyman  MockyLock
MIRIAM;female;Sing a song of sixpence Did we go sailing "MockyLock is the bogeyman MockyLock thinking aloud You okay Lucien Baines Someday you can  We all believe that We've been over this a dozen times  No I don't want to find out Shush I've heard this argument before  It's If we reverse the feed and bring Edward Yes but you're a willing participant  And he might blame you for terrifying Besides I don't know what it might do Good  We need you healthy and relaxed  I don't want you up all night reading Henry wants me to try this Vietnamese That's my girl on intercom cagey When did he lapse into the coma What about the legalities of this They took care of that thank you Disorientation nausea migraines He needs to be turned over That may be true but you don't have intimate quiet She said convincingly Don't remind me Psychostimulants serotonin Although none of what she experiences is Catherine has a tremendous capacity for Pump in two liters of pure oxygen Deep breaths What happened I hate to admit it but there's Son of a bitch That was with Edward  She's accustomed Yes I have done this you know  Been instructs him Nervous I have to ask you some things Are you Any psychiatric medication What about narcotics I know your partner's here but it's I doubt that The first five minutes will be Don't move Yes  But you're going to sit down right Four and twenty blackbirds Damn him Agent Novak  I didn't get a chance to Keep an eye on her What's wrong She's done it  Stupid stupid girl She's bringing Stargher into hers He's in full arrest I left the nutritional information on I know give a kiss to Edward Agent Novak You're looking well That's a secret Awaiting his arrival Completely unaware
HENRY;male;"Mister E" is doing fine Where did that come from again Anybody hungry  I'm hungry There are other applications for the So what you're asking us to do is Shouldn't we get a catheter in him Gentlemen you stand before the one and Don't touch that please About twelve years of research right There's a touchsensitive microchip Not a gift  A highly evolved area in Must've been rather unusual We don't talk about that Well Theoretically while she's inside  I think that's the whole point Miriam Pulse is rapid pressure's a little We should hurry They're back The FBI has left the building there was a moment when we thought flustered It would take hours to reroute the Instead of going into his mind
ELLA;female;He needs a haircut My husband wonders if that's true
LUCIEN;male;I realize that Henry Catherine we've waited eighteen months Yes but there is no proof the procedure I've invested millions of dollars in
ANNE;female;Thirty
RAMSEY;male;Who found her Well honey what's worse  Doing it Pregnant  Thanks for asking Damn man I give up  Your partner unenthused And that means A purebred German Shepherd Registered breeders of German Shepherds She was still living at home John you came to pick her up when No sir  I'm sorry She remembers because it was her "dream Let's give old Carl a call  Tell him She's not here What the hell does that mean What're you doing here Reid  Paving Whoa  Wait a minute We'll go back to his house Pete  Is it possible You sure you want to go through with I don't know Pete but for god's Why jeopardize what we've already done  offended We removed eight metal rings Sorry What is it  are they  exactly What happens here Next time tell me okay Your colleagues want to know what to do Jesus Christ man you look like hell Whoawhoawhoa  Mind telling me what You might've seen Jimmy Hoffa dancing Pete listen to me  What did you really What are you talking about Done what
COLE;male;Surveyor for the railroad 'Bout six She the one from Santa Cruz Agent Cole Already there reading The hoist was manufactured by Carver Lattimer sold the hoist to a guy named Yep  And guess who they hired to seal I never kid  My wife hates it  Says
NOVAK;male;Thanks for waiting Teddy Anne Marie Vicksey Just graduated law school  Single mom  Grandparents  Live over in Davis How is she Here he is Anne Vicksey didn't own a dog Now The dog's an albino Donna Krozin Nicole Labetzki  Victim seven  It's his dog Be thorough but be fast  This guy's After three years she remembers what the Where is he You're the bad man aren't you Carl Have they seen him We proceed assuming she is No Go Paramedics  NOW Make sure he stays cuffed  Two men on This girl  Julia Hickson  Only he They're in that fucking thing for forty Sometime yesterday morning Stargher is in custody  The functional No not at all Pretty much anything we want  There's a As far as I needed There's always a chance they'll confess Sometimes Once they've been caught Thanks What else do we do I don't have to Tell you what  If this thing burns us That won't happen I still don't understand why I can't do How hard could it be This man is deeply disturbed he I know him eyes on the chemical/drug You said she has a "gift" What happened What happens Dr Kent I'll get her Edward Baines I presume No  Not at all  From what I What then Ah the part of us that can't be Peter okay Absolutely That's what therapists are for right What did you see You're the shrink you tell me It's an old lawyer trick  Target the I did yeah What about Julia You think you can do this don't you skeptically Whoa  Hold on  Aren't they the same It's hard for me to see Stargher as Evil Maybe this is a big fucking waste of What difference does it make Right after the trial the night after Yes  I am Right here But you looked so cute  All sleepy Thank you comforting and coaching her When we got here you just topped and Into Stargher  Inside No Absolutely Prevacid  For my stomach No   No I am  I'm a pretty boring guy Not real You're Catherine Young  You majored in Not real  Not real  Not real Like hell "wait" Little boy  That's him Where the hell are we Let's go COME ON Get me out Is she alright This is Novak who've I got I need you to find something in the That hoist with the winch Find out the history of that machine  Considering where I've been I saw her  Julia  Alive  I saw Cole Delano You're kidding me The exact location Cole  Give it to TAKE IT DOWN Cut the engine JULIA Dr Kent Thanks you  Six weeks off does a body Federal Bureau of Investigation ma'am  What about the cat Ready That went well You sure about this Yep  Eloped Well look at that So you say All yours  My boss says it's one of the I don't know  I think it does I got it No problem
JULIA;female;Oh no God I didn't see you Hey trying to remember the words Do something Julia  
BROCK;male;Glad you could make it  We lose the sun No  There's been movement in the
REID;male;Minimal activity in the dorsolateral No need  There won't be a trial  This You ever hear of Whalen's Infraction The normal psychotropics don't work  Then I'm sorry  For her and for you Peter  This is a longshot  I mean a
MARTIN;male;What did you do know  You make a mess  Go back to bed worm Shut up cunt Only girls play with dolls as Stargher King
CARL;male; You look like shit winking Take it easy Pete "V" loves this rod
SUSIE;female;                            
ED;male;                                                                                                                                                                                                                                                                                                                                                                              2t2No  It was a friend of hers 2t2No  Why 2t2I don't think they're working at all 2t2Yeah but please don't go  Please  Time has a way of slowing down when you're around 2t2So you'll stay 2t2What 2t2You've done some good work 2t2I told you I was in a bad mood when I graded that 2t2I don't know  Maybe it's those pills  I don't know 2t2No  Please  Just stop 2t2It's just not working  OK 2t2No  Please don't  It's my fault  Please  Don't go 2t2No it's me  Please                                                                            What is a carnivore got out Let's have a look at the hallway outside How'd the camera get so high like that Like you'd get if it was hand held This is the bedroom There's no other bedroom What's your axe shakes his head Do you have an alarm system Might be a good time to try using it to Al As best we can It's what we do Or something Or not so recently We'll take the tapes with us if that's Did you use the alarm system since we Stay put killer Thanks Al Yeah You recognize that guy 'Fucker gets more pussy than a toilet His or ours Hey Al look at this You know what I think There's no such thing as a bad Unreal  so you're looking good Making ends meet huh Yeah look at my digs  times are tough It was just a thing The story made you Yeah the history of the world in phone
STEWART;male;                    
CELESTE;female;
SADIE;female;                                                                                                                      2t2Is that your wife 2t2I should go 2t2You must be tired  Those pills must be working 2t2Still  You're married right 2t2Really  For me too 2t2If you want me to 2t2Can I ask you something 2t2Do you think my writing is good 2t2Yeah  C minus good 2t2I guess so  2t2What's wrong 2t2Just relax  Lie back 2t2Alright  I'm sorry 2t2Maybe I should go 2t2Damn I'm so stupid 2t2This was a mistake       
GEORGE;male;                           
OK;female;   
EVE;female;      
GEOFFREY;male;                                                                   
HARVEY;male;           With a knife
SHARON;female;
RUBEN;male;Yeah but she had divine guidance Well he's dead he can't hurt me I've been practicing  Now can I I'm sure she thinks it is  Aren't into phone You know MJ when I watch you I tell my shrink about you He's in love with you already Hey  And there's the Haircut right That's her job Jesus Quinn is It's mostly done they got nobody None of your fucking business I hate this Daryll Lee Cullum  I don't think You called us Doctor if you don't What did I do Fear of what amused You came in there with this What's wrong with him Nada  Lemme make the call I like women like that The Boston Strangler when was A little homeopathic cure for the You said you don't give a fuck and What I love the big fight some He's hacked into her Internet You got a tape backup yeah here Let me get a little action started Look at this I just started it copying to tape Absolutely MaryJane  We call her MJ to MJ You ought to get some decent locks Not yet No  I'm shy and I'm selective The problem for me is you're in They'll have a guard here tomorrow Hey The number for my cellular Don't hesitate  Anytime  Night or Tell me what to do I'm right here  I won't let you Shhh  It's okay  Just breathe Put your hands over your ears I'll get a locksmith Up all night with a sick friend Who  MJ  Hey Nikko explain to Is Niccoletti assigned here She didn't fight back no hair or Needle marks fresh here  look at She's blue as hell  No marks on her Spread out like she was sexually She was dragged up here from the You're right  I can't stand that Look at him grandstanding Excuse me  Excuse me  What do It's against your rules that I try She loves me Yeah I can't talk now Yes  I have to go What's Abba What Yes They all have one She wants me to check the phone "Police let me haunt you with Hold on a minute Helen The fuck you can Did this animal touch you Turn on a light and call in the Bullshit's gonna get your balls to Burt You break into her apartment to Where is it He told you she was loaded any We know She don't want it I know baby  I know It's okay you're safe with me When I was a little kid and I'd be Helenhoney you know I gotta go You know how to use this You take it hang on to it it'll enough already The woman was in shock  She was Talk to Nikko I gotta get something to eat I to Kid Behave  You refuse my hospitality
SUSAN;female;on camera confirm this third murder adds  continues to stonewall the  third Bay Area woman has been What's this about the Boston Inspector will you confirm to mimic the MO of the Boston I am here with Lieutenant Quinn of Hey  Halloran  What's the story
MIKE;male;I was Michael Johnson No  I didn't Well there's something missing in Lieutenant  Quinn
DOC;andy;You got it  Same as the other two He used something soft like a Not likely After she was dead
ANDY;male;Would you please get your hands off Well  Aren't we the daring one Are you kidding  You buy enough A little heavy breathing is what He can't phone you unless the When was the last time you washed Monsieur Andy can smell your Cellulite  What do you say I Here we go again Oh my God  Help  HE'S READING A Okay  You win  'Dirty Harry' Excuse me but would you mind Listen asshole I've got a gun Only kidding trying to defuse to distract to Ruben You threatened to drive her Open space  She hasn't been out of Oh God uniforms more stress Hey no  Leave those here  If you Shit No dear  You're at your best with I wouldn't  He'll be back  If you You thought he was cute too didn't What  What'd I do You slut  No sexy young cop for When are you going to call them Then why don't you just die  I'm It's good medicine I'm the only friend you've got She's in the office She just got to sleep  Do you have mock admiration The moon is up my night to howl to MJ I know  Do come and meet your She's smoking again It's almost six  And guess what My life to live darling try to But alive Stop screaming For God's sake stop  my head  I Hal has it then he gave me a popper and I looking at license looking at the Mystery Man Yes I believe so He is  I didn't think you knew Dick angrily Guess who
JUDGE;male;I agree Doctor Have you reached a verdict Please hand it to the bailiff And what is your verdict Fred Madison the jury having found you 
PETER;male;Why don't we save it for later Yes I fed her  If she says she's She lies all the time  Why would I Didn't I promise I'd come right You like that action  Didn't that You thought I was going to do Ted What was that  What am I hearing Mmhmm  I can't get to you  You Oh I think you will I need her she's a cop  I have to I don't care  she's a cop  That's I'm tired  I want it to end You know where You cheated  You said you'd come Listen to them  We'll be on all No  Not yet Don't talk to me about courage  I You want one  No  There was Oh no We'll keep talking  Until they get Why did you do that  Didn't you I don't have the talent for any of Oh please  I know what's coming Back in the driver's seat again surprised like a Sounds like our devil dance actually Mr Sleepyhead must have some major ties Gotta be one of his disciples or Should we wake him up Rise and shine devil guy  Some dude Did you check out the dragon mouth Check this out  The number of the Look who's back from the dead Oh I dumped a fat sack of reefer in the Please  You got to How you feelin' over there Satan Abdul Me too  We're gonna get going We're going to see Ozzy play at the Dude it's us  Let us in What'll we do now Beefy Dude  Seriously You sure you're down with this We know where to find Nicky Fifty million bones bro Excellent  But I gotta warn you man We thought the son of Satan would So even though you're not really the Beat it ya freak takes the bag swigs Drink up  Here's to fifty million Whatever  Knock it back grab Nicky and Definitely This don't look good You mean like experiment with a Bunsen You gotta kill yourself
BURT;male;Backup's here
CONRAD;male;I brought a present for the lady The door was open swear to God I'm trying to tell you  It's on the Daryll Lee Cullum he wrote that The door was already open She's supposed to have it Who are you cagey interrupting interrupting You get me out first Tell me what you want me to say I don't have it Wait wait I already called No that's still in my jacket I was What day is this  In jail you lose Don't forget me please  I told
GIGI;male;Lab called  They got a result on They said it was Windex Hot off the fax  Mr Rivkind's
FELIX;male;We keep records of any threatening
MITCHELL;male;Sergeant Halloran is it  I've
DARYLL;male;You read my book which as you know indignant Bet you never figured I'd follow in Kurten  Is he bothering you  I Something personal  Is he bothering Listen you want my advice  Steer You come and visit Damn  I gave that to Conrad too Conrad has the phone number That Klutz  They send him back
MAC;male;Here I'm finished Jeez that's a full carat  Well there's some flaws in her Don't really have the market for Hell that's worth three easy And Fine buddy
MEN;male;
FRED;male;I got to have that from my What are you going to do Read Read what Renee It's nice to know I can still make you That's why I married you What's that Who's it from Does it say anything on the tape Well let's see what's on it Maybe Good book huh Same one you were reading the other When you didn't come to the club I called you know From the club  You didn't answer You were asleep when I got home yes I had a dream about you last night You were in the house calling my You're up early Who the hell owns that dog What's that  Another tape Don't you want to watch it Well do you wanna watch it All right That's it This is our bedroom No There is I mean I use it as a Yes I thought my wife  Tenor Tenor saxophone  Do you I like to remember things my own way How I remember them  Not necessarily the It kept going off for some reason  False Thanks guys equally horrified  What No I don't remember anything it looks No not to me Where would you feel safe The first night  Not the last two shrugs I'll make sure the alarm is set from now I don't think so  Where was it that you surprised incredulous That's absurd How did you do that angrily Who are you Just a minute Andy who is that guy Dick Laurent remembering something I don't  I don't know him Let's go home Now  We're leaving now I didn't want How'd you meet that asshole Andy What job He's got some fucked up friends Stay in the car I told you to stay in the car I thought there might be somebody inside No of course not Renee I didn't kill her Tell me I didn't kill My My head No no  I want to go in The pain is getting worse  I need more strained whisper Aspirin fly head  I gotta have more But my head Hello Where's Alice I need a room pointing the gun at him into intercom
NIGHT;female;     
ALEXI;male;Snow maybe
DIMITRI;male;What you gonna ski on this
ELLY;female;Guess the picnic got rained out Oh scary What are you like the night Talent Hi You buying No onions though okay They make you fart I went to see a friend of mine She's still dead Very funny  Ha  Ha  Oh my Mom  a quick lie What are you supposed to be  A clown You look like a rock star without a If you're not some kinda child  My mom works over there  I'm Mister Funboy He has a room upstairs  I don't Can you play "Teddy Bears' Picnic" No name  You sure ask a lot of You gotta go now I bet Don't say "shit" Mom tried to cook A lot of people "know" my mom I don't know you You're not a cop either  What do Right What's going on I knew  I knew I knew you  Even upset You look funny without your white I remember him  Here Gabriel Nobody ever gave me something like And she'll be alive  Up here You're gonna like it here He was a present  Besides we're panicked Gabriel You go to hell you pervert Don't let me fall Now do you get to see her Shelly I mean You're not gonna come back are you You mean you'll like' dig your way It can't rain all the time
ALBRECHT;male;You gotta put the mustard Here let me do it Come on onion  Don't cheap How do you ride that thing on a  Care for a hot dog I'm buying horror Goddammit Yeah do it Here now  You're gonna be okay What did you say Oh no don't go darlin' you Victim's name is Shelly Webster Sure it coulda  Funboy's not This sack of shit is called Tin He was a runner for Top Dollar sigh Who ever made that I call it blood Detective  If I'm the police and I say don't No further  I'm serious Are you nuts walking into a gun You wanna run that back for me one You don't say Fucking A my friend Watch it You're the one who did TinTin Annie I need a file This is special darlin'  Please Double homicide  A year ago I knew that Another nice white girl with a Could be Well hello therechocolate Thanks babe Jeezus  Don't ever do that man You died man  I can't believe it You went out the window  She was You okay man  I mean what just You gotta understand  I was  fizzles I should be trying to stop you My pleasure Damn I wish he wouldn't do that Jesus Christ from car Keep your head down I figured as much  Did you cap Yeah among others It's only fourteen or fifteen  Great  Litterbug of the Living not buying it You're gonna kill somebody else Had to go get yourself hipdeep in You sorta looked like you might You're welcome The hell you say  This isn't just  You're bleeding man  You can't You won't mind if I just take the I ain't cut out for this superhero Is he dead yet
MICKEY;male;Maybe a flood like in the Bible Heyyy  it's the Elly monster What's goin' on Elly Well how's your friend Call it in yelling after Chili dog for breakfast it's Oh to Elly
ERIC;male;What the hell are you Fire  In the rain "My kitten walks on velvet feet Thanks for sharing that All right Gotcha Thanks Are we finished yet "Draven Eric" No  Don't look  No No whispering We have company Shelly Yes Goddammit Leave me alone   I guess I'm not ready to leave Hello TinTin Murderer Try harder  Try again A year ago  Halloween  A man You cut her  You raped her I want you to tell me a story TinTin Victims  Aren't we all Halloween is coming  The Day of the Dead Bugger off to the graveyard skull Forget this She always red red was her color All right bad guys in drawn out yell "Suddenly I heard a tapping as of I'm looking for something in an I repeat a gold engagement ring Wrong answer No no no no TinTin confided in me before he Who would waste time killing you Another jolly nickname TBird A whole club of pirates with You feed off the living One chance to live  Take it I thought the police always said And I say I'm dead and I move Then shoot if you will You must listen carefully  the  Listen  Top Dollar  He "owns the I know Top Dollar has turned your  The others are called Skank T Sometimes I dabble  May I Who Mister Funboy lives there I can pick out a tune now  Does she have a name No I have to go It's a Raymond Chandler evening Here Funboy Take your shot funboy  You got  Bull's eye  Good shot Stay Morphine is bad for you Magic Neither Does it hurt I have some pain killer right here Your pain ends now Go away Shut up Your daughter is out there on the Go  Now Freeze I saw it too I need you to tell me what you The venom of bad memories  You My name Thirty hours  A day of life plus Halloween is coming soon  You Thank you  For giving a damn Don't smoke these I'm your passenger  You drive That's good  We're going  You caught one  Drive faster I want you to stop talking  And  wry Time for your reward T  Payback A little restrictive  Good All gone That's better You have to be SKank Thank of a snappy comeback for me Top Dollar you're the only one Do you know what you destroyed A year ago  A very nice lady It's yesterday  Do you know what You don't even remember Rowdy  Let me fill in some gaps  You're a detail man Top  you All of her pain Top  Thirty I didn't think you could handle it It's done Funboy had to leave this mortal  It's only a flesh wound You shouldn't smoke these I'm finished I have to prepare for an  A remembrance Better now  I feel good  How are What is it You brought flowers  As long as  Elly Somebody here wants to meet you Gabriel I think he's yours now Shelly would've wanted you to have Tell me I'll get hurt  That I  Fine with me I'm already alone Don't waste my time But why are you still here I can see her I want the girl  Unharmed  Now You're too late  There was a guy This isn't your place  This isn't Leave here  Don't do this  I Don't interfere Here I am And how many lives have you destroyed  to himself Time for a sacrifice Can you fly In a better place  I hope I don't know if I can  But you For you I'll try  Promise Leave me now What was that Ben through his sobs I'm all right In Costa Rica They'll never make it I mean they can't You're Alan Grant aren't you The first one Before you where on the island When InGen cleared out they left a lot of Found this but the battery's dead Is that all it's been I thought it was longer Yeah I dunno I mean it was kind of preachy Know what this is Mine's new I stayed pretty close to the compound Are you sure Closer you get to the water the bigger Mon Dad We do Then we go home No I can do it Mom   Do you have any kids I want to be an astronaut But then you never get to go in space What's that Something must've scared them DAD Where's Dad We have to keep looking for Dad We have to then we should He loves you too Yeah The lady you called how do you know she can You should No I couldn't see excited yelling over What do you think is going to happen with the I hope they don't I want to come back
LAO;andy;formal greeting phony assuagement begrudging agreement sinister punchline in perfect English An unexpected pleasure Who got himself what I had heard something like this I know of no one To be sure  Now tell how your  Did you see an animal of any kind Good Sounds like our "Crow" is Come now  You've seen the  I am sitting over here Your comprehension is not That's reassuring calmly Extremely so I intend no slight to you but I Do you know of spirit assassins Mmm  But tonight I can take what To the contrary Truly kill him  So I may crush Of course you can I wish to possess what you have now I know  That is why I will Sooner or later my action were I don't believe that I said no shooting Can you fly Crow man Face me No  You are You've caused another death I took yours from you  Your I don't need eyes to take what I
DARLA;female;I told you you're not supposed to Elly Ooh baby  gimme all of it It's a big fucking bird Fun  look at that guy Fun he's not going away he's  I never was too good at this  I was wonderin' where you'd We'll discuss this later I don't remember you  And I don't Worktime kiddo  First day new At least it finally stopped
SHELLY;female;Your scary quotient needs work I think red's my color don't you
HEY;andy;   
ANNABELLA;female;Whatever it is the answer's no Speak up Just don't tell me you "owe me Don't thank me  Your ass is Your last little wild goose chase You gonna wind up working at a school Don't thank me
AXEL;male;Alright alright alright 
